orthography,ipa
استفدنا,əstəfədnə
ي,jə
ولدي,wələdɪ
نوار,nəw:a:ɾ
ايش,e:ʃ
استفدنا,əstəfədnə
حالنا,ħaːlənə
واقف,wa:gɪf
وخصارة,wxəsˤaːɾə
وكلو,wkʊlːʊ
من,mɪn
طولة,tˤuːlət
لسانك,lɪsa:nək
وقلة,wgɪlːət
عقلك,ʕəglək
يبويا,jebujə
انا,ənə
غلطان,ɣəltˤaːn
انا,ənə
غلطان,ɣəltˤaːn
واعترف,wəʕtəɾɪf
بشي,bɪʃːəɪ
دا,da
حاسبني,ħaːsɪbnɪ
يبويا,jebujə
يبويا,jebujə
يبويا,ħaːsɪbnɪ
حاسبني,jebujə
عاتبني,ʕaːtɪbnɪ
سوي,səwːɪ
اللي,l:i
تسويه,tsəwːiː
ولا,welə
تكون,tku:n
مكسور,məksuːɾ
يبويا,jebujə
الله,aɫ:ɔ
يخليك,jxli:k
لاتكون,la:tku:n
مكسور,məksuːɾ
يبويا,jebujə
يولدي,jewələdɪ
انا,ənə
ماقدر,ma:gdəɾ
احاسبك,əħaːsbək
انا,ənə
عارف,ʕa:ɾɪf
انك,ɪn:ʌk
انتا,ɪntə
واقف,wa:gɪf
عشاني,ʕəʃaːnɪ
عشان,ʕəʃa:n
تشيل,tɪʃi:l
حمل,ħəml
السنين,əs:ɪni:n
هدي,ha:də
كلها,kʊl:əhə
من,mɪn
فوق,fo:g
ضهري,dˤəhɾɪ
بس,bəs
يولدي,jewʌlədɪ
مو,mu:
بهدي,bha:dɪ
الطريقة,tˤːɾiːgə
الدنيا,əd:ʊnjə
هدي,ha:də
فيها,fiːhə
ناس,na:s
تزلم,tɪzˤlɪm
وناس,wna:s
تنظلم,tɪnðˤəlɪm
انا,ənə
دايما,da:jmən
ادعي,ədʕɪ
ربنا,ɾəbːənə
يولدي,jewʌlədɪ
ي,jə
رب,ɾəb
ما,mə
اكون,ʔku:n
زالم,zˤa:lɪm
ولا,welə
اكون,ʔku:n
مفتري,mʊftəɾɪ
وحتى,wħətːə
لو,ləw
احد,əħəd
زلمني,zˤʌləmnɪ
ادعي,ədʕɪ
انو,ɪn:u
ربي,ɾəbːɪ
ياخدلي,jaːxʊdlɪ
حقي,ħəgːɪ
منو,mɪnːʊ
يارب,jaːɾəb
يبويا,jebujə
يارب,jaːɾəb
يبويا,jebujə
يعني,jeʕnə
مين,miːn
اللي,əl:i
يرضى,jɪɾdˤə
يكون,jɪku:n
مزلوم,məzˤluːm
ولا,wel:ə
مغصوب,məɣsˤuːb
حقو,ħəgːʊ
محد,mʌħəd
يرضى,jɪɾdˤə
يولدي,jewʌlədɪ
بس,bəs
اتزكر,ətzəkːəɾ
ربنا,ɾəb:enə
موجود,məwdʒuːd
وماقول,wmaːguːl
الا,əl:ə
حسبنا,ħəsʊnə
الله,aɫ:ɔ
ونعم,wɪnəʕm
الوكيل,əlwəki:l
انا,ənə
جيت,dʒi:t
فموضوع,fɪməwdˤuːʕ
العمدة,alʕʊmdə
ابو,əbu
سعد,səʕəd
ايوا,i:wə
بس,bəs
يعني,jeʕnə
مقامكم,mʌqa:məkʊm
الكريم,əlkəɾi:m
كدا,kɪdə
فيه,fiː
نكتة,nʊktə
احب,əħʊb
اوضحها,əwədˤːɪħhə
العمدة,alʕʊmdə
ابو,əbu
سعد,səʕəd
عمدة,ʕʊmdə
ولد,wələd
عمدة,ʕʊmdə
والعمودية,wəlʕʊmuːdɪjːə
هدي,ha:də
ف,f
بيتهم,be:təhʊm
من,mɪn
زمان,zəm:a:n
وبصراحة,wʊbsˤəɾaːħə
هو,hʊw:ə
احسن,əħsən
واحد,wa:ħɪd
يفهم,jɪfhəm
فيها,fi:hə
فبقول,fəbəguːl
يعني,jeʕnə
لو,ləw
تخليه,txʌl:i:
فمنصبو,fmənsˤɪbʊ
راح,ɾa:ħ
يفيدك,jɪfiːdək
كتير,kəti:ɾ
معاك,məʕa:k
حق,ħʌg
رشيد,ɾəʃiːd
باشا,baːʃə
العزيم,lʕəzˤiːm
اللي,əl:i
سار,sa:ɾ
تقليل,təqliːl
وتقدير,wtəqdiɾ
من,mɪn
مقامكم,mʌqa:məkʊm
الكريم,əlkəɾi:m
بس,bəs
اا,a:
انا,ənə
عندي,ʕɪndə
فكرة,fɪkɾə
بلكن,bʌlkɪn
يعني,jeʕnə
تزبط,tɪzəbːɪtˤ
الامور,əlʔʊmuːɾ
وو,wuː
للتجربة,lɪtːədʒɾʊbə
يعني,jeʕnə
بعد,beʕd
ازنكم,ɪznəkʊm
الكريم,əlkəɾi:m
لو,ləw
نعطيه,nɪʕtˤiː
مهلة,mʊhlə
كدا,kɪdə
ويي,wiː
نشوف,nʃuːf
لو,ləw
فشل,fɪʃɪl
يسير,jesi:ɾ
اللي,əl:i
يشوفو,jʃuːfʊ
مقامكم,mʌqa:məkʊm
الكريم,əlkəɾi:m
معايا,məʕa:jə
انا,ənə
بس,bəs
اا,a:
خلاص,xəla:sˤ
خلاص,xəla:sˤ
اللي,əl:i
يشوفو,jʃuːfʊ
مقامكم,mʌqa:məkʊm
الكريم,əlkəɾi:m
بتغصبيني,bɪtɪɣsˤɪbiːnɪ
عليها,ʕəle:hə
ليش,le:ʃ
طيب,tˤej:ɪb
يعني,jeʕnə
انتا,ɪntə
تبغاها,tɪbɣaːhə
تكون,tku:n
بطالة,bʌtˤːaːlə
ليش,le:ʃ
والله,wəɫ:ɔ
امرك,əmɾɪk
عجيب,ʕədʒiːb
يا,jə
ام,ʔ̃ʊm
حمزة,ħəmzə
مو,muː
انتي,ɪntɪ
تبغيني,tɪbɣiːnɪ
اكل,aːkʊl
منها,mɪnːəhə
عشان,ʕəʃa:n
اسير,əsiːɾ
الواد,əlwa:d
القوي,əlgəwɪ
الكرسوع,əlkəɾsuːʕ
الهروشي,əlhəɾuːʃɪ
اللي,əl:i
مايخاف,maːjxa:f
من,mɪn
احد,əħəd
لا,la:
من,mɪn
ديب,diːb
ولا,wel:ə
من,mɪn
سبع,səbɪʕ
ايوا,i:wə
طبعا,tˤebʕʌn
هيا,həj:ə
شايفة,ʃaːjfə
هادا,ha:də
الكلام,əlkəla:m
مايسير,ma:jsi:ɾ
عشان,ʕəʃa:n
كدا,kɪdə
حتكوني,ħətkuːnɪ
زالمة,zˤaːlmə
يا,jə
بعيدة,bəʕiːdə
حتكوني,ħətkuːnɪ
زالمة,zˤaːlmə
حتطفحي,ħʌtˤːəfːɪħɪ
ولدك,wələdɪk
اشياء,əʃja:ʔ
تخليه,txəl:i:
زالم,zˤa:lɪm
زي,zəj
زوجك,zo:dʒɪk
درويش,deɾwiʃ
كدا,kɪdə
مايسير,ma:jsi:ɾ
ربنا,ɾəb:enə
ما,ma:
امر,ʔ̃əmɾ
بكدا,bɪkɪdə
ربنا,ɾəb:enə
ما,ma:
امر,ʔ̃əmɾ
بكدا,bɪkɪdə
انا,ənə
اطلع,ətˤləʕ
زالم,zˤa:lɪm
لا,la
لا,la
لا,la
مستحيل,mʊstəħiːl
انا,ənə
ابغى,əbɣə
اكون,əku:n
زي,zəj
ما,ma:
انا,ʔ̃ənə
اشبي,ɪʃbɪ
اهوه,əhʊ
باكل,ba:kʊl
ومتكي,wʊmtəkːɪ
ومابغى,wmaːbɣə
حاجة,ħa:dʒə
تانية,taːnjə
ولا,wel:ə
اطلع,ətˤləʕ
زي,zəj
المسل,əlməsəl
داك,daːk
اللي,əl:i
بيقول,biːguːl
اللي,əl:i
زرعتو,zəɾəʕtʊ
الريح,ɾːiːħ
تاخدو,taːxdʊ
الزوابع,z:əwaːbɪʕ
اسمع,əsməʕ
انا,ənə
هادا,ha:də
الكلام,əlkəla:m
ما,maː
يدخل,jɪdxʊl
راسي,ɾaːsɪ
حتاكل,ħətaːkʊl
من,mɪn
هادي,ha:dɪ
المربى,əlmɾəb:ə
يعني,jeʕnə
حتاكل,ħətaːkʊl
من,mɪn
هادي,ha:dɪ
المربى,əlmɾəb:ə
اهدا,əhdə
يهوه,jəho:
طيب,tˤej:ɪb
ناكل,naːkʊl
حناكل,ħənaːkʊl
من,mɪn
دي,di
المربى,lmɾəb:ə
عمرو,ʕʊmɾʊ
الخايب,lxa:jɪb
ماراح,ma:ɾa:ħ
يفلح,jɪfləħ
ادبح,ədbəħ
ولا,wel:ə
اقتل,əgtʊl
مين,mi:n
ياجماعة,ja:ʒəmaːʕə
احنا,ɪħnə
قاعدين,gaːʕdiːn
نتكلم,nɪtkəl:əm
عن,ʕʌn
درويش,deɾwiʃ
ومين,wmi:n
قلك,gəlːək
انك,ɪn:ək
راح,ɾa:ħ
تدبح,tɪdbəħ
ولا,wel:ə
تقتل,tɪgtʊl
ولا,wel:ə
حتى,ħət:ə
درويش,deɾwiʃ
راح,ɾa:ħ
يشوفك,jʃuːfək
كل,kʊl
اللي,ɪl:ɪ
عليك,ʕəle:k
تخليه,txʌl:i:
يطفح,jɪtˤfəħ
من,mɪn
اللي,əl:i
جواة,dʒʊwːət
القزازة,əlgʊzaːzə
هدي,ha:də
ايش,e:ʃ
اللي,əl:i
جوة,dʒʊwːət
القزازة,əlgʊzaːzə
هدي,ha:də
طيب,tˤej:ɪb
جوتها,dʒʊwːəthə
اللي,ɪl:i
يشفي,jɪʃfɪ
غليلي,ɣəliːlɪ
ي,jə
سعداوي,sʌʕda:wə
ويريح,wiːɾəjːɪħ
قلبي,gəlbɪ
ويخليك,wiːxəl:i:
كمان,k:əma:n
ترجع,tɪɾʒʌʕ
الحارة,alħa:ɾə
وتشوف,wʊtʃuːf
سعدك,sʌʕdək
وهناك,whəna:k
تبي,tɪbɪ
تسممي,tsəm:ɪmɪ
درويش,deɾwiʃ
تبي,tɪbɪ
تسممي,tsəm:ɪmɪ
درويش,deɾwiʃ
ي,jə
لطيفة,lətˤi:fə
اهدي,əhdɪ
ي,jə
امي,ʊm:i
بس,bəs
لطيفة,lətˤi:fə
انا,ənə
مقدر,məgdəɾ
اسويها,əsəwːiːhə
سعداوي,sʌʕda:wə
احنا,ɪħnə
تارنا,taːɾənə
واحد,wa:ħɪd
درويش,deɾwiʃ
قتل,gətəl
سيدي,siːdɪ
غيس,ɣe:s
وصبيانو,wsˤʊbjaːnʊ
رقدولي,ɾəg:ədu:lɪ
ابويا,əbu:jə
ومني,wmənɪ
عارفة,ʕa:ɾfə
متى,mɪtə
راح,ɾa:ħ
يقوم,jɪguːm
واهانك,wəʔ̃aːnək
ي,jə
سعداوي,sʌʕda:wə
وطردك,wʊtˤəɾədək
من,mɪn
الحارة,alħa:ɾə
ومن,wmɪn
حضن,ħʊdˤʊn
امك,ʊmːək
وحرمك,wħəɾəmək
من,mɪn
حبيبة,ħəbiːbət
قلبك,gəlbək
سوسن,səwsən
والهرجة,wəlhəɾdʒə
بسيطة,bəsiːtˤə
بس,bəs
اللي,əl:i
عليك,ʕəle:k
تخليه,txʌl:i:
يطفح,jɪtˤfəħ
من,mɪn
اللي,əl:i
فالقزازة,fɪlgʊzaːzə
هادي,ha:dɪ
هوا,hʊw:ə
يتوكل,jɪtwəkːəl
واحنا,wɪħnə
نرتاح,nɪɾtaːħ
والحارة,wəlħaːɾə
كلها,kʊl:əhə
ترتاح,tɪɾtaːħ
من,mɪn
شرو,ʃəɾːʊ
لو,ləw
ابحرق,əbəħɾɪg
العمر,əlʕʊmʊɾ
كلو,kʊl:ə
مايكفيني,maːjkəfːiːnɪ
بعدين,bəʕdei:n
السنين,əs:ɪni:n
حلتك,ħəlːətɪk
زيادة,zɪjaːdə
ي,jə
بنت,bɪnt
السنين,əs:ɪni:n
السنين,s:ɪni:n
بتاخد,btaːxʊd
من,mɪn
العمر,əlʕʊmʊɾ
ي,jə
سعداوي,sʌʕda:wə
انا,ənə
تعبت,tʕɪbt
احتاجك,əħtaːʒəkjə
جمبي,dʒəmbɪ
ي,jə
سعداوي,sʌʕda:wə
هانت,haːnət
هانت,haːnət
ي,jə
حبيبتي,ħəbiːbətɪ
كلو,kʊl:ə
راح,ɾa:ħ
يرجع,jɪɾdʒəʕ
ان,ɪn
شاء,ʃɒ:
الله,ɫ:ə
بس,bəs
انتي,ɪntɪ
وحشتيني,wəħəʃtiːnɪ
انتا,ɪntə
كمان,kəma:n
وحشتني,wəħəʃtənɪ
انا,ənə
احبك,əħʊbːək
ي,jə
سعداوي,sʌʕda:wə
اقولك,əgʊl:ək
حاجة,ħa:ʒə
انتا,ɪntə
عارف,ʕa:ɾɪf
انا,ənə
اقعد,əgʕʊd
كدا,kɪdə
اتكلم,ətkəlːəm
مع,məʕ
نفسي,nəfsɪ
اقول,əguːl
ايش,ɪʃ
بك,bɪk
ي,jə
بنت,bɪnt
ليش,le:ʃ
تستنيه,tɪstənːiː
تستني,tɪstənːɪ
هدا,ha:də
الواد,əlwa:d
التعبان,ətːəʕbaːn
روحي,ɾuːħɪ
اتجوزي,tʒəwːəzɪ
عيشي,ʕiːʃɪ
حياتك,ħəjaːtɪk
ما,maː
اقدر,gdəɾ
لانك,lənːək
روحي,ɾuːħɪ
ودنيتي,wdʊnjətɪ
وانا,wənə
احبك,ħʊbːək
مستحيل,mʊstəħiːl
افكر,əfəkːɪɾ
في,fɪ
غيرك,ɣe:ɾək
لكن,la:kɪn
انا,ənə
ماسوي,maːsəwːɪ
كدا,kɪdə
سيبوهم,siːbuːhʊm
ي,jə
عيال,ʕjaːl
اوقف,əwgəf
انتا,ɪntə
وهوا,whʊwːə
اسماعيل,ɪsma:ʕi:l
و,wʊ
داوود,daːuːd
انتو,ɪntu
صبيان,sˤʊbjaːn
المعلم,almʕl:ɪm
درويش,deɾwiʃ
زي,zəj
ماقال,maːgaːl
حمدان,ħʌmda:n
وانا,wənə
مسامحكم,msaːmɪħkʊm
افرحو,əfɾəħʊ
ومبسطو,wəmbəsˤtˤʊ
الليلة,əlːe:lə
ليلة,le:lət
هنا,hənə
وسرور,wsɾuːɾ
بلكن,bʌlkɪn
تنحل,tɪnħʌl
اشياء,aʃja:ʔ
كتير,kəti:ɾ
انتا,ɪntə
ترجع,tɪɾʒʌʕ
معلم,mʕl:ɪm
الحارة,alħa:ɾə
وانا,wənə
ارجع,əɾdʒəʕ
لبيتي,lɪbe:tɪ
وعند,wʕɪnd
امي,ʊmːɪ
وقلبي,wgəlbɪ
اللي,l:i
انحرمت,nħəɾəmt
منو,mɪn:u
كيف,ke:f
تبغاه,tɪbɣa:h
يموت,jmuːt
ايش,e:ʃ
اللي,əl:i
يدور,du:ɾ
في,fɪ
بالك,ba:lək
اوسخ,əwsəx
موتة,mo:tə
سكين,səkːiːn
جمبية,dʒəmbiːjə
شون,ʃo:n
طايش,tˤaːjɪʃ
اي,əjːɪ
شي,ʃej
المهم,almʊhɪm
تجيب,tɪʒi:b
اجلو,əʒəlʊ
سكين,səkːiːn
وجمبية,wdʒəmbiːjə
وشون,wʃo:n
ماراح,ma:ɾa:ħ
تنفع,tɪnfəʕ
مع,məʕ
درويش,deɾwiʃ
ولا,welə
حتى,ħət:ə
القوة,lgʊwːə
تنفع,tɪnfəʕ
معاه,məʕaː
طالما,tˤaːləmə
رجالو,ɾʒaːlʊ
حولو,ħo:lʊ
هرجة,hʌɾʒə
زي,zəj
هادي,ha:dɪ
يبغالها,jɪbɣaːləhə
ترتيب,təɾtiːb
تاني,taːnɪ
ترتيب,təɾtiːb
زي,zəj
ايش,e:ʃ
ي,jə
معلم,mʕl:ɪm
هاذا,ha:də
مو,muː
شغلك,ʃʊɣlək
خليني,xəlːiːnɪ
انا,ənə
امخمخ,əməxmɪx
عليها,ʕəle:hə
و,w
افكر,əfəkːɪɾ
فيها,fi:hə
مزبوط,məzˤbutˤ
بس,bəs
حط,ħʊtˤ
في,fɪ
بالك,ba:lək
هرجة,hʌɾʒəv
زي,zəj
دي,dɪ
حتدفع,ħətɪdfəʕ
عليها,ʕəle:hə
كتير,kəti:ɾ
هادا,ha:də
ازا,ɪzə
انتا,ɪntə
كنت,kʊnt
تبغى,tɪbɣə
الدلش,ədːələʃ
هو,hʊw:ə
اللي,l:i
يسويها,səwːiːhə
حدفعلك,ħədfəʕlək
ي,jə
معلم,mʕl:ɪm
اللي,əl:i
تبغاه,tɪbɣa:h
ولا,welə
تشيل,tɪʃi:l
هم,həm
تعجبني,tɪʕdʒɪbnɪ
يواد,jəːwaːd
ابو,əbu
لطيفة,lətˤi:fə
ابو,əbʊ
نوار,nəw:a:ɾ
حمدلله,ħəmdɪlːa:h
على,ʕələ
سلامتي,səlaːmətɪ
من,mɪn
ايش,e:ʃ
بعدين,bəʕdei:n
انتا,ɪntə
ايش,e:ʃ
جابك,ʒaːbək
هنا,hɪnə
بيتي,be:tɪ
انا,ənə
جيت,dʒi:t
اطمن,ətˤːəmːən
عليك,ʕəle:k
تطمن,tɪtˤːəmːən
عليا,ʕələj:ə
من,mɪn
ايش,e:ʃ
ابو,əbu
نوار,nəw:a:ɾ
اسمع,əsməʕ
في,fi:
حرمة,ħʊɾmə
عندي,ʕɪndɪ
هنا,hɪnə
تدخل,tɪdxʊl
وتخرج,wʊtʊxɾʊdʒ
عليا,ʕələj:ə
مين,mi:n
هادي,ha:dɪ
الحرمة,əlħʊɾmə
حرمة,ħʊɾmə
ما,maː
ف,fɪ
لبيت,lbe:t
غير,ɣe:ɾ
لطيفة,lətˤi:fə
مي,mi:
لطيفة,lətˤi:fə
لطيفة,lətˤi:fə
راحت,ɾaːħət
مع,məʕ
امها,ʊmːəhə
يمبع,jʊmbʊʕ
وبترجع,wʊbtɪɾdʒəʕ
بعد,beʕd
يومين,jo:me:n
هدي,ha:də
الحرمة,əlħʊɾmə
اللي,l:i
بدور,bɪd:u:ɾ
عندي,ʕɪndə
بالبيت,bɪlbe:t
هدي,ha:də
مين,mi:n
ابو,əbu
نوار,nəw:a:ɾ
انا,ənə
خايف,xa:jɪf
ام,ʊm
لطيفة,lətˤi:fə
ترجع,tɪɾʒʌʕ
من,mɪn
يمبع,jʊmbʊʕ
وتشوف,wʊtʃuːf
الحرمة,əlħʊɾmə
هادي,ha:dɪ
عندي,ʕɪndə
مصيبة,mʊsˤi:bə
انتا,ɪntə
تعرف,tɪʕɾɪf
مريم,məɾjəm
وغيرتها,wɣiːɾəthə
نار,na:ɾ
نار,na:ɾ
اشبك,ɪʃbək
اهرج,əhɾɪdʒ
مين,miːn
هدي,ha:də
فين,fe:n
رايح,ɾa:jɪħ
هدي,ha:də
بنتك,bɪntək
لطيفة,lətˤi:fə
كبرت,kɪbɾət
وسارت,wsaːɾət
حرمة,ħʊɾmə
كبيرة,kəbi:ɾə
اقلك,egʊlːək
راحت,ɾaːħət
مع,məʕ
ام,ʊm
انا,ənə
مابدي,ma:bɪd:ɪ
اقلل,əgəlːɪl
من,mɪn
مقامك,məgaːmək
ي,jə
درويش,deɾwiʃ
انا,ənə
بعلمك,bəʕəlːɪmək
الاصول,əlʔʊsˤuːl
والاصول,wəlʔʊsˤuːl
في,fɪ
الجواز,ldʒʊwaːz
انو,ɪn:u
الشور,ʃːo:ɾ
والامر,wəlʔəmɾ
للبنت,lɪlbɪnt
وابوها,wəbuːhə
والباقي,wəlbaːgɪ
معازيم,məʕaziːm
حبو,ħəb:ʊ
يجو,jɪdʒʊ
مرحبا,məɾħəbə
حبو,ħəb:ʊ
يقصرو,jɪgəsˤːɪɾʊ
بناقص,bnaːgɪsˤ
اما,əmːə
عن,ʕən
هرجة,həɾʒə
السرقة,əsːɪɾgə
فنتا,fəntə
ي,jə
درويش,deɾwiʃ
اكبر,əkbəɾ
حرامي,ħəɾaːmɪ
يهوه,jəho:
يهوه,jəho:
يهوه,jəho:
ي,ja
جماعة,dʒəmaːʕə
صلوا,sˤəlːʊ
ع,ʕə
النبي,nːəbɪ
ما,ma:
يصير,jsˤiːɾ
احنا,wəl:ə
كبار,ħnə
ع,gbaːɾ
الكلام,ʕəlkəla:m
هدا,ha:də
ي,jə
ناس,naːs
اسمع,əsməʕ
يا,ja
سالم,sa:lɪm
ترا,təɾə
انا,nə
سكتلك,səkətːələk
كتير,kəti:ɾ
وبعدين,wʊbəʕdei:n
اسماعيل,ɪsma:ʕi:l
جا,dʒa:
برجولو,bɪɾdʒuːlʊ
محد,mʌħəd
ضربو,dˤəɾəbʊ
على,ʕələ
يدو,jəd:ʊ
و,w
حاسب,ħaːsɪb
على,ʕələ
كلامك,kəla:mək
يا,jə
سالم,saːlɪm
لا,la:
تشوف,tʃuːf
شي,ʃej
مني,mɪnːɪ
مو,muː
طيب,tˤej:ɪb
وايش,wʔə:ʃ
بدي,bɪd:ə
اشوف,əʃu:f
منك,mɪn:ək
غير,ɣe:ɾ
سفارة,səfaːɾat
اللسان,əlːɪsa:n
السفارة,əs:əfaːɾə
من,mɪn
افعالك,əfʕaːlək
يا,jə
سالم,saːlɪm
وبعدين,wʊbəʕdei:n
بدل,bədəl
ماتلومني,maːtluːmənɪ
انا,ənə
روح,ɾuːħ
شوف,ʃu:f
رضوان,ɾɪdˤwa:n
اللي,əl:i
يبغى,jɪbɣə
يتجوز,jɪtʒəw:əz
بنت,bɪnt
الحلواني,əlħələwaːnɪ
سمبل,sʊmbʊl
ايش,e:ʃ
بسم,bɪsmɪ
الله,l:a:
بسم,bɪsmɪ
الله,l:a:
الرحمن,ɾːəħmaːn
فكرك,fɪkɾək
المعلم,əlmʕl:ɪm
درويش,deɾwiʃ
صرفنا,sˤəɾːəfnə
من,mɪn
عندو,ʕɪndʊ
ليش,le:ʃ
بالعافية,bɪlʕaːfjə
تفضل,fədˤ:əl
ولا,wel:ə
اطلبلك,tˤlʊblək
حاجة,ħa:dʒə
تانية,taːnjə
انا,ənə
لاني,la:nɪ
جاي,ʒaːɪ
اكل,aːkʊl
ولا,wel:ə
اتضيف,tðˤəjːəf
انا,ənə
جاي,dʒaːɪ
اقولك,əgʊl:ək
كلمتين,kɪlməte:n
وحتساهل,wħətsaːhəl
خير,xe:ɾ
خير,xe:ɾ
الخير,əlxe:ɾ
هذا,ha:ðə
انتا,ɪntə
اللي,əl:i
فرطت,fəɾːətˤ:
فيه,fiː
وشكلك,wʃəklək
كدا,kɪdə
معد,məʕəd
تبغى,tɪbɣə
لا,la:
تنكر,tɪnkɪɾ
المنكر,əlmʊnkəɾ
ولا,welə
توقف,tu:gəf
ف,fʊ
وش,wəʃː
الشر,əʃːəɾ
لا,la:
ممكن,mʊmkɪn
اسويها,əsəw:i:hə
بس,bəs
بطريقتي,btˤəɾiːgtɪ
مو,muː
بطريقتك,btˤəɾiːgtək
بطريقتك,btˤəɾiːgtək
اخليك,əxəli:k
تشتغل,tɪʃtəɣɪl
وتسيب,wʊtsiːb
الواجب,əlwaːʒɪb
المفروض,əlməfɾuːdˤ
عليك,ʕəle:k
واجبي,waːʒbɪ
اني,ɪnːɪ
اشتغل,əʃtəɣɪl
وعبد,ʊəʕbʊd
الله,əɫːɔ
واحببهم,waħəbːɪbhʊm
في,fɪ
الدين,d:i:n
لكن,laːkɪn
شغل,ʃʊɣʊl
الترهيب,ətːəɾhi:b
دا,da
اللي,l:i
انتا,ɪntə
تبغاه,tɪbɣa:h
انا,ənə
مالي,ma:lɪ
فيه,fi
يعني,jeʕnə
كدا,kɪdə
ي,jə
رضوان,ɾɪdˤwa:n
حلو,ħɪlu
حنا,ħɪnːə
نعرف,nɪʕɾɪf
كيف,ke:f
نربيك,nɪɾəbːiːk
ي,jə
واد,wa:d
وخليك,xəlːiːk
قد,gəd
كلامك,kəla:mək
يرحم,jɪɾħəm
امك,ʊmːək
الله,aɫ:ɔ
ينتقم,jɪntəgɪm
منهم,mɪnːəhʊm
اشر,əʃʌɾː
انتقام,ɪntɪga:m
اسماعيل,ɪsma:ʕi:l
هدا,ha:də
الاقرع,lʔəgɾəʕ
المفقش,əlmfəgəʃ
كتير,kəti:ɾ
و,wʊ
داوود,daːuːd
ابو,əbʊ
شنب,ʃənəb
مشعتر,mʃəʕtəɾ
بيشتغلوا,jɪʃəɣlʊ
عند,ʕɪnd
ابويا,əbu:jə
درويش,deɾwiʃ
بيشتغلوا,bjɪʃtəɣlʊ
صبيان,sˤʊbjaːn
اخدوني,əxədo:nɪ
ف,fɪ
الليل,lːe:l
على,ʕələ
قهوة,gəhwə
وبعدين,wʊbəʕdei:n
هناك,hɪna:k
ودوني,wəd:o:nɪ
ع,ʕə
الغرفة,lɣʊɾfə
رحت,ɾʊħt
الغرفة,əlɣʊɾfə
قمت,gʊmt
سكران,səkɾaːn
الله,aɫ:ɔ
يسلمك,jsəlːɪmək
انتا,ɪntə
والعيال,wəlʕjaːl
كلهم,kʊlːəhʊm
اللي,əl:i
مدام,mədaːm
اختارك,əxta:ɾək
المعلم,almʕl:ɪm
ف,fə
اكيد,ʔəkiːd
هو,hʊw:ə
شايف,ʃaːjɪf
حاجة,ħa:dʒə
احنا,ɪħnə
محنا,məħnə
شايفينها,ʃaːjfiːnəhə
مدام,mədaːm
برضو,bəɾdˤu
انك,ɪn:ək
انتا,ɪntə
صديق,sˤədiːg
اخويا,əxuːjə
محمد,mħəmːəd
فقدرك,fəgədɾək
من,mɪn
قدرو,gədɾʊ
وقدر,wgədɾ
المعلم,almʕl:ɪm
