orthography,ipa
درويش,deɾwiʃ
كفك,kəfːək
ي,jə
معلم,mʕl:ɪm
لغري,lʊɣɾɪ
تشوف,tʃuːf
النار,ənːaːɾ
كدا,kɪdə
زي,zəjː
الاهبل,əlʔəhbəl
مين,miːn
الواد,əlwa:d
هدا,ha:də
ياجماعة,jədʒəmaːʕə
ابو,əbʊ
لطيفة,lətˤi:fə
ايش,e:ʃ
بك,bək
هادا,ha:də
رضوان,ɾɪdˤwa:n
رضوان,ɾɪdˤwa:n
رضوان,ɾɪdˤwa:n
مين,miːn
هادا,ha:də
اخو,əxʊ
الشيخ,ʃ:e:x
سالم,sa:lɪm
يا,jə
سليمان,sleːmaːn
انتو,ɪntu
تبغو,tɪbɣʊ
تجننوني,tʒənːɪnuːnɪ
ولا,wel:ə
ايه,e:
الشيخ,əʃ:e:x
سالم,sa:lɪm
عنده,ʕɪndʊ
اخو,əxʊ
واحد,wa:ħɪd
بس,bəs
اسمه,ɪsmʊ
اسماعيل,sma:ʕi:l
لساتو,lɪsːaːtʊ
صغير,sˤəɣɪɾ
صغير,sˤəɣɪɾ
نونو,nuːnʊ
مو,muː
الطحش,tˤːəħʃ
هادا,ha:də
هادا,ha:də
مو,muː
كان,kɑn
بشوش,bəʃ:u:ʃ
هادا,ha:də
بشوش,bəʃ:u:ʃ
قدامك,gʊdːaːmək
اهوه,əhʊh
اشبك,əʃbək
يا,jaː
بشوش,bəʃ:u:ʃ
اشبك,əʃbək
كبرت,kɪbɪɾt
كدا,kɪdə
لا,laː
حول,ħəʊl
ولا,welə
قوة,qʊwːətə
الا,ɪl:ə
بالله,bɪlːaː
بعدين,bəʕdei:n
مين,miːn
هدا,ha:də
اللي,əl:i
يكرهك,jɪkɾəhək
ويحرقلك,wɪjħɾɪglək
دكانك,dʊkːaːnək
مين,miːn
هادا,ha:də
اللي,l:i
يبغى,jɪbɣə
يضرك,jdˤʊɾːək
عيال,ʕjaːl
الحرام,əlħəɾaːm
كثير,kəθiːɾ
يبو,jəbʊ
لطيفة,lətˤi:fə
انا,ənə
شاك,ʃaːkː
انو,ɪn:u
الولد,lwələd
هادا,ha:də
هوا,hʊw:ə
ابو,əbu
لطيفة,lətˤi:fə
بلكي,bəlkɪ
كنت,kʊnt
بطال,bətˤːaːl
بلكن,bəlkɪn
ماكنت,maːkʊnt
الولد,əlwələd
اللي,əl:i
كنت,kʊnt
تتمنى,tɪtmənːə
تتفشخر,tɪtfəʃxəɾ
بيه,fiː
ولا,welə
كنت,kʊnt
السند,əsːənəd
اللي,əl:i
يوقف,juːgəf
معاك,məʕa:k
لكن,la:kɪn
رغم,ɾʊɣm
دا,da
كلو,kʊl:ə
مو,muː
انا,ənə
اللي,l:i
حرقت,ħəɾəgt
الدكان,ədːʊkːan
انا,ənə
قلت,gʊlt
كل,kʊl
اللي,əl:i
عندي,ʕɪndə
ولا,welə
يهمني,jhɪmːənɪ
احد,əħəd
تاني,taːnɪ
يصدقني,jsˤədːɪgnɪ
المهم,almʊhɪm
انتا,ɪntə
ابو,əbu
الشوش,aʃ:u:ʃ
مو,muː
قصدي,gəsˤdi
احشر,əħʃʊɾ
نفسي,nəfsɪ
بس,bəs
شكلو,ʃəklʊ
صادق,sˤaːdɪg
اول,əw:əl
مرة,məɾ:ə
احس,əħɪs
انو,ɪn:u
صادق,sˤaːdɪg
اول,əw:əl
شي,ʃej
انا,ənə
ما,maː
اقلك,gʊlːək
معلم,mʕəlːɪm
انا,ənə
اقولك,əgʊlːək
ابويا,əbu:jə
ابويا,əbu:jə
اللي,ɪl:ɪ
واقفلي,waːgɪflɪ
في,fɪ
الطالعة,tˤːaːlʕə
و,w
في,fɪ
النازلة,nːaːzlə
ابويا,əbu:jə
اللي,əl:i
بيلاحقني,biːlaːħɪgnɪ
من,mɪn
مطعم,mətˤʕəm
لمطعم,lɪmətˤʕəm
لبيت,lɪbeːt
لقرايبنا,lɪgəɾaːjɪbnə
ابويا,əbu:jə
اللي,əl:i
مطلعني,mtˤəlːɪʕnɪ
قدام,gʊdːaːm
الكل,əlkʊl
اني,ɪn:i
صغير,sˤəɣɪɾ
كمان,kəma:n
ترد,tɾʊd
علي,ʕələjːə
و,wə
تقاوحني,tgaːwɪħnɪ
اقاوحك,əgaːwħək
اقاوحك,əgaːwħək
و,w
اوقف,əwgəf
في,fɪ
وجهك,wədʒhək
حتى,ħət:ə
لو,ləw
كنت,kʊnt
مشكل,mɪʃkɪl
الحارة,alħa:ɾə
انت,ɪntə
يبغالك,jɪbɣaːlək
تربية,təɾbɪjə
من,mɪn
جديد,dʒədi:d
على,ʕələ
مرتو,məɾətʊ
الجديدة,ldʒədiːdə
مبروك,məbɾuːk
ي,jə
معلم,mʕl:ɪm
طول,tˤuːl
عمرك,ʕʊmɾək
تفكر,tɪfəkːɪɾ
صح,sˤʌħ
اصلا,əsˤlən
انتا,ɪntə
ما,maː
تفكر,tɪfəkːɪɾ
الا,ɪl:ə
بمصلحتك,bməsˤləħətək
وبعدين,wʊbəʕdei:n
في,fɪl
البقية,bəgɪjːə
سعاد,sʊʕa:d
بنت,bɪnt
العمدة,alʕʊmdə
اختيار,ɪxtɪjaːɾ
صح,sˤʌħ
بس,bəs
اللي,əl:i
ماتعرفو,maːtɪʕɾɪfʊ
يسيدي,jəsiːdɪ
انا,ənə
جيت,dʒi:t
اقولك,əgʊlːək
عليه,ʕəle:
اصلا,əsˤɫʌn
هيا,hiːj:ə
ماتبغاك,maːtɪbɣaːk
هي,hi:j:ə
تبغى,tɪbɣə
تتجوز,tɪtʒəwːəz
الواد,əlwa:d
رضوان,ɾɪdˤwa:n
وهوا,whʊwːə
غريمك,ɣəɾiːmək
فيه,fiː
كفة,kɪfːət
ميزانو,miːzaːnʊ
مليانة,məljaːnə
بالحب,bɪlħʊb
بس,bəs
كفة,kɪfːət
ميزانك,mi:za:nək
مليانة,məljaːnə
حقد,ħɪgd
وكره,ʊkʊɾh
انقهرت,ɪngəhəɾt
انقهرت,ɪngəhəɾt
ي,jə
درويش,deɾwiʃ
ايوا,i:wə
كدا,kɪdə
ايوا,i:wə
ابغاك,əbɣaːk
تنقهر,tɪngəhɪɾ
زي,zəj
ماقهرت,maːgəhʌɾt
قلبي,gəlbɪ
عشرة,ʕəʃəɾə
سنوات,sənəwaːt
من,mɪn
عمري,ʕʊmɾɪ
انا,ənə
صاحبك,sˤaːħbək
ي,jə
داوود,daːʔ̃uːd
لا,la:
انتا,ɪntə
صاحبي,sˤaħbɪ
ولا,welə
ابغى,əbɣə
اعرفك,əʕɾɪfək
انا,ənə
سامحت,saːməħt
صالح,sˤalɪħ
عشان,ʕəʃa:n
امي,ʊm:i
وقلتلك,wgʊltələk
سيبو,siːbʊ
وانتا,wɪntə
خنت,xʊnt
كلمتي,kɪlmətɪ
والصاحب,wəsˤːaːħɪb
مايخون,maːjxuːn
صاحبو,sˤaːħbʊ
وانتا,wɪntə
غدرت,ɣədəɾt
بيا,bɪjːə
واللي,wɪl:i:
يسوي,səwːɪ
كدا,kɪdə
يسير,jesi:ɾ
ماهو,ma:hʊ
صاحب,sˤaːħɪb
انتا,ɪntə
بدرب,bdəɾb
وانا,wənə
بدرب,bdəɾb
لا,la:
ي,jə
داوود,daːuːd
ي,jə
داوود,daːʔ̃uːd
انا,ənə
صاحبك,sˤaːħbək
احاول,əħa:wɪl
الحقك,əlħəgək
احاول,əħa:wɪl
افكك,əfʊkːək
من,mɪn
درويش,deɾwiʃ
وبلاويه,ʊbəlaːwiː
راح,ɾa:ħ
اقتل,əgtʊl
درويش,deɾwiʃ
اللي,əl:i
يتهجم,jɪthədʒːəm
على,ʕələ
البيت,əlbe:t
من,mɪn
زمان,zəm:a:n
وشالك,wʃaːlək
منو,mɪn:u
واللي,wɪl:ə
طيح,tˤəjːəħ
الشيخ,əʃ:e:x
سالم,sa:lɪm
وزودلو,wzəwːədlʊ
تعبو,təʕəbʊ
اللي,l:i
ضرب,dˤəɾəb
رقية,ɾʊgəjːə
لمن,ləm:ən
انا,ənə
و,w
انتا,ɪntə
ما,maː
كنا,kʊnːə
ف,fɪ
البيت,lbe:t
درويش,deɾwiʃ
انتا,ɪntə
مالك,maːlək
صلاح,sˤəlaːħ
فيه,fiː
وضربو,wdˤəɾəb
لرقية,lɪɾgəjːə
انا,ənə
اللي,l:ɪ
راح,ɾa:ħ
احاسبو,əħaːsbʊ
عليه,ʕəle:
و,w
ليش,leːʃ
انتا,ɪntə
اللي,l:i
تحاسبو,tħaːsbʊ
عليه,ʕəle:
ان,ɪn
شاء,ʃa:
الله,ɫ:ʌ
بصفتك,bsˤɪfətək
مين,miːn
تدافع,tɪdaːfɪʕ
عنها,ʕənːhə
انا,ənə
اخوها,xuːhə
لكن,la:kɪn
انتا,ɪntə
ايه,e:
تحبها,tħʊbːəhə
ازا,ɪzə
تحبها,tħʊbːəhə
قول,gu:l
بلكن,bʌlkɪn
الحب,əlħʊb
ينضفلك,jɪnʌdˤːɪflək
قلبك,gʌlbɪk
دا,da
شويا,ʃwəjːə
ايوا,i:wə
احبها,əħʊbːəhə
احبها,əħʊbːəhə
ي,jə
رضوان,ɾɪdˤwa:n
في,fi:
شي,ʃej
وانتا,wɪntə
كمان,kəma:n
تحب,tħʊb
سعاد,sʊʕa:d
صح,sˤʌħ
ولا,wel:ə
لا,la
يا,jə
شيخنا,ʃe:xnə
ايوا,i:wə
انا,ənə
اللي,l:i
فاهمك,fa:hmək
مزبوط,məzbuːtˤ
انتا,ɪntə
منتا,məntə
رايح,ɾa:jɪħ
تقتل,tɪgtʊl
درويش,deɾwiʃ
زي,zəj
مابتقول,maːbɪtguːl
عشان,ʕəʃa:n
رقية,ɾʊgəjːə
ولا,wel:ə
عشاننا,ʕəʃaːnənə
لا,la
انتا,ɪntə
رايح,ɾa:jɪħ
تقتل,tɪgtʊl
درويش,deɾwiʃ
عشانو,ʕəʃənːʊ
يبغى,jɪbɣə
ياخد,jaːxʊd
منك,mɪn:ək
سعاد,sʊʕa:d
يبا,jɪbə
يخطفها,jɪxtˤʊfhə
منك,mɪn:ək
هلا,hələ
والله,wəɫ:ɔ
جمعة,ʒʊmʕə
مباركة,mbaːɾkə
اليوم,əljo:m
كنت,kʊnt
بسويلكم,bəsəwːilkʊm
فلوق,vlo:g
حق,ħəg
يوم,jo:m
الجمعة,əlʒʊmʕə
صراحة,sˤəɾa:ħə
معرف,məʕɾɪf
شحسوي,ʃħsəwːɪ
اليوم,əljo:m
بس,bəs
كنت,kʊnt
بوريكم,bəwəɾːiːkʊm
بس,bəs
كل,kʊl
شي,ʃei
بسويه,bəsəwːiː
وحاخدكم,wħa:xʊdkʊm
معايا,məʕa:jə
ان,ən
جست,dʒʌst
برتند,prətənd
ذاء,ða:ʔ
ور,wr̬
بستيز,bεstiz
بس,bəs
حبدأ,ħəbdəʔ
بشعري,bʃəʕɾɪ
اليوم,əljo:m
عشان,ʕəʃa:n
شايفين,ʃaːjfiːn
المنزر,əlmʌnzˤʌɾ
دا,da
نات,nɑ:
دونق,dʊwɪŋ
ذاء,ða:ʔ
تفرج,tfəɾːəʒ
عليه,ʕəle:
فتكتوك,fɪtɪktok
تعرفو,tɪʕɾɪfʊ
انو,n:u
مرا,məɾ:ə
اي,aːɪ
لف,ləv
درسنق,drəsɪŋ
اب,ʌp
فور,fo:r
فرايديز,fraːɪde:z
فحاخدكم,fəħaːxʊdkʊm
دحين,deħ:e:n
واحنا,wɪħnə
بنسوي,bɪnsəwːɪ
شعري,ʃeʕɾə
ماي,maːɪ
ميكب,me:kʌp
ان,ən
تشوزنق,tʃuːzɪŋ
اوتفت,a:wtfɪt
بس,bəs
لس,ləs
قو,goʊ
تيك,təɪk
ا,ə
شاور,ʃaːwər
ماما,maːmə
جابتلي,dʒa:bʌtli
دا,da:
الست,s:ɪt
من,mɪn
صراحة,sˤəɾa:ħə
اتس,ɪts
سو,soʊ
كيوت,kju:t
جابتلي,dʒa:bʌtli
هو,hʊw:ə
مع,məʕə
عباية,ʕəbaːjə
كمان,kəma:n
سو,soʊ
اي,aɪ
ثنك,θɪŋk
حلبسو,ħʌlbəsʊ
اليوم,ljo:m
حشوف,ħəʃuːf
دحين,deħ:e:n
حقيس,ħəgiːs
واشوف,wəʃuːf
كيف,ke:f
شكلو,ʃəklʊ
اء,əʔ
لوكس,lʊks
كيوت,kju:t
ولا,wel:ə
لا,ləʕ
قايز,ga:ɪz
اي,ʌɪ
ثنك,θɪŋk
ام,ʌm
لايك,la:ɪk
تايني,taːɪnɪ
مرا,məɾ:ə
كبير,kəbiːɾ
عليا,ʕəlej:ə
معرف,məʕɾɪf
اذا,əða
باين,ba:jɪn
ولا,wel:ə
لا,ləʕ
حرفيا,ħʌɾfi:jən
بمسح,bəməsːɪħ
الارض,əlʔəɾdˤ
يا,ja
اي,aɪ
ثنك,θɪŋk
لازم,la:zɪm
اصغرو,əsˤəɣːɪɾʊ
اتعلمت,ətʕəl:mt
شي,ʃeɪ
قريب,gəɾi:b
سرت,sɪɾt
ماحب,maːħʊb:
استخدم,əstʌxdɪm
الفزر,əlfɪzər
لشعري,ʃəʕɾɪ
عشان,ʕəʃa:n
دايما,da:jmən
ينفشو,jɪnfʊʃʊ
بزات,bɪzːaːt
فجدة,fɪdʒɪdːə
مع,məʕə
الرطوبة,ɾːʊtˤuːbə
سو,soʊ
سرت,sɪɾt
دايما,da:jmən
لمن,ləm:ən
شعري,ʃeʕɾə
مبلول,məbluːl
اخد,aːxʊd
ا,ə
تي,tiː
شرت,ʃɪrt
نارا,nɑ:ɾə
منشفة,mɪnʃəfə
لازم,la:zɪm
يكون,jɪku:n
بلوزة,bluːzə
عشان,ʕəʃa:n
يكون,jɪku:n
قماش,gʊmaːʃ
ووو,wu:
بس,bəs
انشف,nəʃːɪf
شعري,ʃeʕɾə
فزي,fəzeɪ
منتو,məntʊ
شايفين,ʃaːɪfiːn
دحين,deħ:e:n
اس,ɪs
لايك,la:ɪk
فري,vərɪ
وت,wεt
عشان,ʕəʃa:n
سويتو,səw:e:tʊ
اولردي,r:εdɪ
بس,bəs
حكمل,ħəkʌmːɪl
دحين,deħ:e:n
عشان,ʕəʃa:n
اوريكم,əwəɾːiːkʊm
بس,bəs
اقعد,əgʕʊd
اعصر,əʕsˤʊɾ
شعري,ʃeʕɾə
نص,nʊsˤ:
الموية,əlmo:jə
تروح,tɾuːħ
كدا,kɪdə
اي,aɪ
جست,dʒʌst
كيب,ki:p
قوينق,gəʊɪŋ
مررا,məɾ:ə
مررا,məɾ:ə
يساعد,jsaːʕɪd
مع,məʕ
طريقة,təɾi:gə
شعري,ʃeʕɾə
كيف,ke:f
ينشف,jɪnʃəf
وماينفش,wma:jɪnfʊʃ
از,əz
متش,mʌtʃ
المهم,almʊhɪm
تجيني,tɪdʒiːnɪ
كتير,kəti:ɾ
اسئلة,əsʔɪlə
ع,ʕə
كيف,ke:f
اسوي,əsəw:i
شعري,ʃeʕɾə
فخليني,fəxəlːiːnɪ
اديكم,ədːiːkʊm
خلاصة,xʊɫaːsˤə
اول,əw:ʌl
شي,ʃeɪ
استحمى,əstəħəmːə
بشامبو,bʃaːmpʊ
وكوندشنر,wkʊndɪʃɪnər
عادي,ʕaːdɪ
وبعدين,wʊbəʕdei:n
بعدو,bʌʕdʊ
دايما,da:jmən
فشاور,fɪʃːaːwr̬
نفسو,nəfsʊ
احط,əħʊtˤ
احط,əħʊtˤ
كرل,kr̬l
كريم,kri:m
وانا,wənə
استخدم,stəxdɪm
حق,ħʌg
فنتي,fεntɪ
هير,he:r
بعدو,bəʕdʊ
احط,əħʊtˤ
جل,dʒɪl
واستخدم,wəstʌxdɪm
الباونس,əlbaːwns
كرل,kr̬l
برش,brʌʃ
بس,bəs
امشطو,əməʃːɪtˤʊ
شويا,ʃwej:ə
شويا,ʃwej:ə
بعدين,bəʕdei:n
اي,aɪː
سكرنش,skrʌnʃ
ات,ɪʔ
ف,fɪ
الشاور,ʃ:a:wr
و,w
اعصر,ʕsˤʊɾ
الموية,əlmo:jə
بعدين,bəʕdei:n
اسوي,əsəw:i
هادي,ha:dɪ
الحركة,lħəɾəkə
بالمنشفة,bɪlmɪnʃəfə
وبس,wʊbəs
واخليه,wəxəlːiː
ينشف,jɪnʃəf
صراحة,sˤəɾa:ħə
مرا,məɾ:ə
سهل,səhəl
وسريع,ʊsəɾiːʕ
المهم,almʊhɪm
بعد,beʕd
ماخلصت,maːxʌɫʌsˤt
شعري,ʃeʕɾə
رحت,ɾʊħt
سويت,səwːɪt
سريري,səɾiːɾɪ
عشان,ʕəʃa:n
قرأت,qəɾəʔt
فمكان,fəməkaːn
زمان,zəm:a:n
انو,ɪn:u
لمن,ləm:ən
تسوو,tɪsəwːʊ
سريركم,səɾiːɾəkʊm
يو,ju
بيكم,bikʌm
برودكتف,prodʌktɪfːor
فور,ðə
ذ,rεst
رست,ʌf
افذا,ðə
دي,de:j
صراحة,sˤəɾa:ħə
اتس,ɪts
ترو,tru
انا,ənə
من,mɪn
النوع,ənːoːʕ
اللي,ɪl:i
من,mɪn
جد,dʒɪd
ماقدر,ma:gdʌɾ
اقعد,əgʕʊd
فهدوء,fɪhdu:ʔ
اي,aɪ
ثنك,θɪŋk
اتس,ɪts
بيكز,bikʌz
لما,ləm:ə
اي,aɪ
موفد,muːv
تو,tʊ
لندن,lʌndən
مررا,məɾ:ə
ماكنت,ma:kʊnt
متعودة,mɪtʕəwːɪdə
يعني,jeʕnə
كنت,kʊnt
عايشة,ʕaːjʃə
هنا,hɪnə
ف,fɪ
البيت,lbe:t
و,w
احنا,ɪħnə
لايك,la:ɪk
تقريبا,təgɾi:bən
اطنعشر,tˤnʌʕʃəɾ
شخص,ʃʌxsˤ
ف,fɪ
البيت,lbe:t
كنا,kʊn:ə
فا,fa:
رحت,ɾʊħt
عشت,ʕɪʃt
ف,f
لندن,lʌndən
لحالي,lɪħa:lɪ
فخلاص,fəxəɫa:sˤ
اي,aɪ
كورنت,kʊɾɪn
جست,dʒʌst
اكسبت,əksεbt
الفاكت,ðəfaːkt
انو,ɪn:u
هدوء,hʊduːʕ
فور,fo:r
سفن,sεvn
و,ʊ
دحين,dʌħːiːn
حسيت,ħəsːeːt
بيكيم,bikeɪm
ستش,sʌtʃ
ا,ə
باد,ba:d
هابت,ha:bɪt
من,mɪn
جد,dʒɪd
معرف,məʕɾɪf
كيف,ke:f
اقعد,əgʕʊd
ان,ɪn
سايلنس,saːɪləns
حتى,ħət:ə
وانا,wənə
قاعدة,gaːʕdə
كدا,kɪdə
بس,bəs
دقيقتين,dəgiːgteːn
وهدوء,wʊhduːʔ
ماقدر,ma:gdʌɾ
اشغل,əʃəɣ:ɪl
ميوزك,mju:zɪk
فذحين,fədəħːiːn
ام,ʊm
تشراينق,tʃra:jɪŋ
سمثنق,sʌmθɪŋ
نيو,nju
بدل,bʌdʌl
ماشغل,maːʃʌɣːɪl
ميوزك,mju:zɪk
احاول,əħa:wɪl
اشغل,əʃəɣ:ɪl
بودكاست,po:dka:st
ولا,wel:ə
اشغل,əʃəɣ:ɪl
شي,ʃej
يفيدني,jɪfiːdənɪ
شويا,ʃwej:ə
اكتر,əktəɾ
فا,fə
في,fi
وحدة,wəħdə
يوتوبر,jutuːbəɾ
مرا,məɾ:ə
احبها,əħʊbːəhə
و,w
لقيت,ʊlgiːt
كتابها,ktaːbəhə
ف,f
جرير,dʒəɾiːɾ
امس,əms
مرا,məɾ:ə
تحمست,tħʌmːəst
ان,ɪn
شاء,ʃa:
الله,ɫ:ʌ
نطقت,nətˤʌgt
اسمها,ɪsməhə
صح,sˤʌħ
هادي,ha:dɪ
هيا,hɪj:ə
قايز,gaːɪz
اونسلي,o:nɪslɪ
لو,ləw
عندكم,ʕɪndəkʊm
اي,əj
مشاكل,məʃaːkɪl
فيور,fjuːr
مايندست,maːɪndsεt
ولا,wel:ə
يو,ju
وانا,wənə
بي,bi
مور,mo:r
برودكتف,prʊdʌktɪv
وهاذي,wha:ð
الاشياء,ɪlʔəʃjaʔ
شي,ʃei
از,ɪz
ذ,ð
قو,goʊ
تو,tʊ
حرفيا,ħʌɾfi:jən
كل,kʊl
مرة,mʌɾ:ə
اتفرج,ətfəɾːədʒ
من,mɪn
جد,dʒɪd
سو,soʊ
موتيفيتد,mo:tɪve:tɪd:
تو,tʊ
لايك,la:ɪk
تشينج,tʃei:ndʒ
ماي,ma:ɪ
لايف,laːɪf
اور,ʊr
تشينج,tʃei:ndʒ
ماي,maːɪ
مايندست,maːɪndsεt
فالمهم,fəlmʊhɪm
سرت,sɪɾt
دايما,da:jmən
اشغل,əʃəɣ:ɪl
فديوهاتها,fɪdjʊhaːtəhə
فلباكقراوند,fɪlbaːg:rəwnd
وانا,wənə
اسوي,əsəw:i
اشيائي,əʃjaːʔɪ
بدل,bədəl
ماسمع,maːsməʕ
ميوزك,mju:zɪk
عشان,ʕəʃa:n
صراحة,sˤəɾa:ħə
يساعد,jsaːʕɪd
بس,bəs
تو,tʊ
فل,fɪl
ان,ɪn
ذات,ðaːt
فويد,vo:ɪd
فياه,fəjaː
ذاتس,ða:ts
ماي,maːɪ
تب,tɪp
اف,əf
ذ,ðə
دي,de:j
ابغى,əbɣə
ابدأ,əbdəʔ
اسوي,əsəw:i
مكياجي,mɪkjaːʒɪ
بس,bəs
ف,fɪ
نفس,nəfs
الوقت,elwʌgt
حاسة,ħaːsːə
انو,ɪn:u
اي,aɪ
نيد,ni:d
ماي,ma:ɪ
ماتشا,ma:tʃə
او,əw
اي,aɪ
مايت,ma:j
جست,dʒʌst
داي,da:ɪ
حنروح,ħʌnɾuːħ
المطبخ,əlmʌtˤbəx
امقنا,əmgənə
ميك,meːk
ماي,maːɪ
ماتشا,ma:tʃə
فرست,fr̬st
بعدين,bəʕdei:n
حجي,ħədʒɪ
اتفرج,ətfəɾːʌdʒ
ان,ən
دو,dʊ
ماي,maːɪ
ميكب,me:kʌp
مالاحزتو,maːɫaːħʌzˤtʊ
اي,aɪ
دسايدد,dəsaːɪdɪd
ام,ʊm
قنا,gənə
ستك,stɪk
تو,tʊ
ذس,ðɪs
اوتفت,awtfɪt
معلينا,məʕəlːnə
قايز,gaːɪz
عشان,ʕəʃa:n
المطبخ,əlmʌtˤbəx
الارض,əlʔəɾdˤ
حقو,ħʌgːʊ
مرا,məɾ:ə
مقرف,mʊgɾɪf
شوفو,ʃuːfʊ
ايش,ʃ
حلبس,ħəlbəs
اوكي,oʊkej
لس,ləs
قو,goʊ
هلو,hεlo:
دادا,da:da
تودي,tədeːj
ور,wr
ات,aːɾ
ا,ə
هول,hoːl
نيو,nu
لفل,lεvəl
اف,əf
ليزينس,le:zɪnɪs
ام,ʊm
قنا,gənə
ميك,me:k
ماي,ma:ɪ
ماتشا,ma:tʃə
ستريت,stre:ɪt
انتو,ɪntu
ماي,ma:ɪ
كب,kʌp
عشان,ʕəʃa:n
كدا,kɪdə
اصلا,əsˤlən
الطويل,ətˤːəwiːl
العجيب,əlʕədʒiːb
سويت,səwːeːt
ماتشا,ma:tʃə
معليكم,məʕəleːkʊm
من,mɪn
شكل,ʃəkl
المصاصة,əlməsˤːaːsˤə
العجيبة,əlʕədʒiːbə
عندي,ʕɪndə
ماي,ma:ɪ
هوميد,hoʊmːeɪd
ماتشا,ma:tʃə
تعرفو,tɪʕɾɪfʊ
انو,ɪn:u
لايك,la:ɪk
اتس,ɪts
بن,bɪn
سو,soʊ
لونق,loːŋ
سنس,sɪns
من,mɪn
يوم,jo:m:
ماشتريت,a:ʃtəɾeːt
ماتشا,ma:tʃə
من,mɪn
برا,bəɾːə
لايك,la:ɪk
از,əz
رقيولرلي,rεgjʊlərlɪ
طبعا,tˤebʕʌn
لسا,lɪsːə
اشتري,əʃtəɾi
ماتشا,ma:tʃə
من,mɪn
برا,bəɾːə
سبشلي,spεʃəlɪ
حق,ħʌg
و,wʊ
قود,gʊd
هود,hʊd
بس,bəs
مو,mʊ
كدا,kɪdə
قصدي,gʌsˤdɪ
قصدي,gʌsˤdi
انو,ɪn:u
يعني,jeʕnə
زمان,zəm:a:n
كنت,kʊnt
دايما,da:jmən
اشتري,əʃtəɾi
ماتشا,ma:tʃə
كل,kʊl
يوم,jo:m
من,mɪn
بررا,bəɾːə
فلندن,flʌndən
فسعودية,fɪsːʊʕuːdɪjːə
اتنين,ɪtne:n
يعني,jeʕnə
بس,bəs
بعدين,bəʕdei:n
ممكن,mʊmkɪn
السنة,əsːənə
اللي,l:i
فاتت,fa:tət
لما,ləm:ə
اتعلمت,ətʕəl:mt
كيف,ke:f
اسويه,əsəwːiː
ف,fɪ
البيت,lbe:t
سرت,sɪɾt
خلاص,xəla:sˤ
من,mɪn
جد,dʒɪd
انو,ɪn:u
ممكن,mʊmkɪn
اشتري,əʃtəɾi
ماتشا,ma:tʃə
برا,bəɾːə
يومين,jo:me:n
فلاسبوع,fɪlʊsbuːʕ
غير,ɣe:ɾ
كدا,kɪdə
ام,əm
ميكنق,me:kɪŋ
ات,ɪt
مايسيلف,maːɪsəːlf
و,w
يعجبني,jɪʕdʒɪbnɪ
مو,muː
انو,ɪn:u
مسلا,məsələn
تمشية,təmʃɪjət
حال,ħaːl
سو,soʊ
ذسز,ðɪsz
ما,maː
ماتشا,ma:tʃə
